index,index,time,tem
723,723,4341.639204,67.0
724,724,4346.440558,67.0625
725,725,4351.239756,67.0625
726,726,4356.041106000001,67.125
727,727,4360.840391,67.1875
728,728,4365.639827999999,67.1875
729,729,4370.440527000001,67.1875
730,730,4375.200783,67.25
731,731,4379.959044,67.3125
732,732,4384.67991,67.375
733,733,4389.479759,67.4375
734,734,4394.2815009999995,67.4375
735,735,4399.000619,67.5
736,736,4404.672435,67.5625
737,737,4409.5987430000005,67.625
738,738,4415.593742999999,67.6875
739,739,4420.36548,67.6875
740,740,4425.099744,67.75
741,741,4429.881654,67.8125
742,742,4434.60375,67.875
743,743,4439.319726,67.875
744,744,4444.199818,67.875
745,745,4449.000959999999,67.875
746,746,4453.721058,67.9375
747,747,4458.520823,68.0
748,748,4463.241604,68.0
749,749,4468.041493000001,68.0625
750,750,4472.840826,68.125
751,751,4477.800782,68.1875
752,752,4482.442564,68.25
753,753,4487.161506,68.3125
754,754,4491.9581259999995,68.375
755,755,4496.5991730000005,68.375
756,756,4501.325792,68.4375
757,757,4506.119839,68.4375
758,758,4510.9215810000005,68.5
759,759,4515.739101,68.5625
760,760,4520.479456,68.5625
761,761,4525.23895,68.625
762,762,4529.9597300000005,68.6875
763,763,4534.759693,68.75
764,764,4539.479600000001,68.75
765,765,4544.2002840000005,68.8125
766,766,4549.000434,68.875
767,767,4553.801241,68.875
768,768,4558.519738,68.9375
769,769,4563.240621,69.0
770,770,4567.960426,69.0
771,771,4572.682580000001,69.0625
772,772,4577.400600999999,69.125
773,773,4582.121614,69.1875
774,774,4586.859536,69.1875
775,775,4591.559238,69.25
776,776,4596.300143,69.3125
777,777,4601.079745999999,69.3125
778,778,4605.810466999999,69.375
779,779,4610.5996350000005,69.375
780,780,4615.4021649999995,69.4375
781,781,4620.201145,69.5
782,782,4624.838224,69.5
783,783,4629.479112999999,69.5625
784,784,4634.200409,69.625
785,785,4638.842109,69.6875
786,786,4643.561576,69.6875
787,787,4648.283026,69.6875
788,788,4653.001451,69.75
789,789,4657.880779,69.8125
790,790,4662.958858,69.8125
791,791,4667.7206289999995,69.875
792,792,4672.520859,69.9375
793,793,4677.321758,69.9375
794,794,4682.138664,70.0
795,795,4686.919312,70.0625
796,796,4691.719854999999,70.0625
797,797,4696.5197,70.125
