name,time,tem
BK,2020-03-09T07:43:24.594701,22.0625
AUX,2020-03-09T07:43:25.551746,31.6875
MT,2020-03-09T07:43:26.434196,29.0
HLT,2020-03-09T07:43:27.392577,29.3125
BK,2020-03-09T07:43:29.354423,22.0625
AUX,2020-03-09T07:43:30.272136,31.75
MT,2020-03-09T07:43:31.254336,29.0625
HLT,2020-03-09T07:43:32.193999,29.3125
BK,2020-03-09T07:43:34.154465,22.0625
AUX,2020-03-09T07:43:35.072361,31.8125
MT,2020-03-09T07:43:36.034022,29.0625
HLT,2020-03-09T07:43:36.992662,29.375
BK,2020-03-09T07:43:38.956248,22.0625
AUX,2020-03-09T07:43:39.873043,31.875
MT,2020-03-09T07:43:40.835866,29.0625
HLT,2020-03-09T07:43:41.833806,29.4375
BK,2020-03-09T07:43:43.756990,22.0625
AUX,2020-03-09T07:43:44.672157,31.9375
MT,2020-03-09T07:43:45.631780,29.1875
HLT,2020-03-09T07:43:46.514373,29.4375
BK,2020-03-09T07:43:48.475020,22.0625
AUX,2020-03-09T07:43:49.392256,31.9375
MT,2020-03-09T07:43:50.352145,29.3125
HLT,2020-03-09T07:43:52.194037,29.4375
BK,2020-03-09T07:43:54.155396,22.0625
AUX,2020-03-09T07:43:55.072000,32.0
MT,2020-03-09T07:43:55.973469,29.375
HLT,2020-03-09T07:43:56.932894,29.5
BK,2020-03-09T07:43:58.874726,22.0625
AUX,2020-03-09T07:43:59.792532,32.0
MT,2020-03-09T07:44:00.751936,29.375
HLT,2020-03-09T07:44:01.713076,29.5625
BK,2020-03-09T07:44:03.674886,22.0625
AUX,2020-03-09T07:44:04.592543,32.0625
MT,2020-03-09T07:44:05.554117,29.4375
HLT,2020-03-09T07:44:06.793166,29.625
BK,2020-03-09T07:44:08.738355,22.0625
AUX,2020-03-09T07:44:09.633799,32.125
MT,2020-03-09T07:44:10.611585,29.4375
HLT,2020-03-09T07:44:11.574805,29.6875
BK,2020-03-09T07:44:13.516696,22.0625
AUX,2020-03-09T07:44:14.431785,32.1875
MT,2020-03-09T07:44:15.312624,29.5
HLT,2020-03-09T07:44:16.274035,29.6875
BK,2020-03-09T07:44:18.235164,22.0625
AUX,2020-03-09T07:44:19.151461,32.1875
MT,2020-03-09T07:44:20.033672,29.5625
HLT,2020-03-09T07:44:20.993496,29.75
BK,2020-03-09T07:44:22.987776,22.0625
AUX,2020-03-09T07:44:23.900538,32.1875
MT,2020-03-09T07:44:24.879307,29.625
HLT,2020-03-09T07:44:25.820117,29.8125
BK,2020-03-09T07:44:27.761380,22.0625
AUX,2020-03-09T07:44:28.671680,32.25
MT,2020-03-09T07:44:29.551938,29.5625
HLT,2020-03-09T07:44:30.433455,29.9375
BK,2020-03-09T07:44:32.436919,22.0625
AUX,2020-03-09T07:44:33.391884,32.3125
MT,2020-03-09T07:44:34.273431,29.625
HLT,2020-03-09T07:44:35.231815,29.9375
BK,2020-03-09T07:44:37.115899,22.0
AUX,2020-03-09T07:44:38.032394,32.375
MT,2020-03-09T07:44:38.992133,29.6875
HLT,2020-03-09T07:44:39.952597,30.0
BK,2020-03-09T07:44:41.996719,22.0625
AUX,2020-03-09T07:44:42.913312,32.4375
MT,2020-03-09T07:44:43.872220,29.6875
HLT,2020-03-09T07:44:44.831239,30.0625
BK,2020-03-09T07:44:46.714658,22.0625
AUX,2020-03-09T07:44:47.635481,32.5
MT,2020-03-09T07:44:48.591705,29.875
HLT,2020-03-09T07:44:49.491928,30.0
BK,2020-03-09T07:44:51.434678,22.0625
AUX,2020-03-09T07:44:52.434188,32.5625
MT,2020-03-09T07:44:53.392317,29.9375
HLT,2020-03-09T07:44:54.372815,30.125
BK,2020-03-09T07:44:56.314646,22.0625
AUX,2020-03-09T07:44:57.319290,32.5625
MT,2020-03-09T07:44:58.271979,30.0
HLT,2020-03-09T07:44:59.152599,30.1875
BK,2020-03-09T07:45:01.114566,22.0625
AUX,2020-03-09T07:45:02.033041,32.625
MT,2020-03-09T07:45:02.991841,30.0625
HLT,2020-03-09T07:45:03.872856,30.25
BK,2020-03-09T07:45:05.835016,22.0625
AUX,2020-03-09T07:45:06.753986,32.625
MT,2020-03-09T07:45:07.714307,30.125
HLT,2020-03-09T07:45:08.674266,30.25
BK,2020-03-09T07:45:10.654804,22.0625
AUX,2020-03-09T07:45:11.554789,32.6875
MT,2020-03-09T07:45:12.511987,30.125
HLT,2020-03-09T07:45:13.392132,30.3125
BK,2020-03-09T07:45:15.354959,22.0625
AUX,2020-03-09T07:45:16.274051,32.75
MT,2020-03-09T07:45:17.233426,30.1875
HLT,2020-03-09T07:45:18.194137,30.375
BK,2020-03-09T07:45:20.155012,22.0625
AUX,2020-03-09T07:45:21.073775,32.8125
MT,2020-03-09T07:45:22.031964,30.25
HLT,2020-03-09T07:45:22.916160,30.4375
BK,2020-03-09T07:45:24.875480,22.0625
AUX,2020-03-09T07:45:25.812213,32.875
MT,2020-03-09T07:45:26.756014,30.3125
HLT,2020-03-09T07:45:27.712137,30.4375
BK,2020-03-09T07:45:29.675057,22.0625
AUX,2020-03-09T07:45:30.594147,32.875
MT,2020-03-09T07:45:31.553801,30.3125
HLT,2020-03-09T07:45:32.512629,30.5
BK,2020-03-09T07:45:34.535610,22.0625
AUX,2020-03-09T07:45:35.471774,32.9375
MT,2020-03-09T07:45:36.434604,30.375
HLT,2020-03-09T07:45:37.392375,30.5625
BK,2020-03-09T07:45:39.376175,22.0625
AUX,2020-03-09T07:45:40.271608,33.0
MT,2020-03-09T07:45:41.152960,30.375
HLT,2020-03-09T07:45:42.123938,30.5625
BK,2020-03-09T07:45:44.075081,22.0625
AUX,2020-03-09T07:45:44.992068,33.0625
MT,2020-03-09T07:45:45.954001,30.4375
HLT,2020-03-09T07:45:46.914015,30.625
BK,2020-03-09T07:45:48.874898,22.0625
AUX,2020-03-09T07:45:49.791529,33.0625
MT,2020-03-09T07:45:50.672214,30.4375
HLT,2020-03-09T07:45:51.633849,30.6875
BK,2020-03-09T07:45:53.595548,22.0625
AUX,2020-03-09T07:45:54.512143,33.125
MT,2020-03-09T07:45:55.472138,30.5
HLT,2020-03-09T07:45:56.437821,30.75
BK,2020-03-09T07:45:58.394385,22.0625
AUX,2020-03-09T07:45:59.333053,33.1875
MT,2020-03-09T07:46:00.272159,30.5
HLT,2020-03-09T07:46:01.234001,30.75
BK,2020-03-09T07:46:03.196760,22.0625
AUX,2020-03-09T07:46:04.112570,33.25
MT,2020-03-09T07:46:05.151751,30.625
HLT,2020-03-09T07:46:06.035453,30.8125
BK,2020-03-09T07:46:07.994838,22.0625
AUX,2020-03-09T07:46:08.914133,33.25
MT,2020-03-09T07:46:09.871762,30.625
HLT,2020-03-09T07:46:10.754014,30.8125
BK,2020-03-09T07:46:12.721764,22.0625
AUX,2020-03-09T07:46:13.631706,33.3125
MT,2020-03-09T07:46:14.512520,30.625
HLT,2020-03-09T07:46:15.472414,30.875
BK,2020-03-09T07:46:17.436958,22.0625
AUX,2020-03-09T07:46:18.351898,33.375
MT,2020-03-09T07:46:19.234942,30.6875
HLT,2020-03-09T07:46:20.192385,30.9375
BK,2020-03-09T07:46:22.156998,22.0625
AUX,2020-03-09T07:46:23.071682,33.375
MT,2020-03-09T07:46:23.952751,30.75
HLT,2020-03-09T07:46:24.912242,30.9375
BK,2020-03-09T07:46:26.876742,22.0
AUX,2020-03-09T07:46:27.794679,33.4375
MT,2020-03-09T07:46:28.797807,30.8125
HLT,2020-03-09T07:46:29.712044,31.0
BK,2020-03-09T07:46:31.595156,22.0
AUX,2020-03-09T07:46:32.515308,33.5
MT,2020-03-09T07:46:33.472109,30.875
HLT,2020-03-09T07:46:34.432498,31.0625
BK,2020-03-09T07:46:36.395098,22.0625
AUX,2020-03-09T07:46:37.312840,33.5
MT,2020-03-09T07:46:38.273810,30.875
HLT,2020-03-09T07:46:39.234822,31.125
BK,2020-03-09T07:46:41.197141,22.0625
AUX,2020-03-09T07:46:42.116242,33.5625
